"","Name","Day","Media","Type","Date","UniqueId","Path","Class","Relative","MinorAx","MidAx","MajorAx","CellSurfaceArea","CellVolume","MitoVolSur","MitoLength","MitoVolLen","MitoToCellVolRatio","MitoToCellSurRatio","MitoQuasiDensity","Nodes","Edges","avgDegree","avgDegreeCor","Loops","MultipleEdges","avgCC","sdCC","DiameterTop","DiameterGeo","avgEdgeLength","stdEdgeLength","maxEdgeLength","FracLongEdges","Clusters","Phi","Beta","Pk1","Pk3","avgBETgeo","sdBETgeo","maxBETgeo","avgBETtop","sdBETtop","maxBETtop","avgGeoSTopSRatio","sdGeoSTopSRatio","avgEdgeLengthProjected","avgEdgeLengthGeodesic","avgEdgeLengthSpherical","avgEdgeTension","netTension","avgLongEdgesTension","LongestEdgeTension","logNodes","logNormLength","Meshedness","Redundancy"
"4269","020714_1_100_0","1","Glucose","WT","24",1,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,2.107551,2.707366,2.801137,80.809199,66.949603,5.44723,62.88791,4.44528,0.0813631411675436,0.0674085384759228,0.778227117434984,31,38,2.45161290322581,2.4,0,1,0.138461538461538,0.138461538461538,9,15.8629,1.654945,1.07117606895475,4.54892,0.184210526315789,3,0.870967741935484,0.984731564461277,0.290322580645161,0.67741935483871,0.0866147571375603,0.0819014508917614,0.333333333333333,0.0788283277715981,0.0766825620789996,0.314143404488232,1.64172249468276,0.55071637911017,1.84018947368421,1.61466684210526,1.53870289473684,0.924850376901757,0.877445972382707,0.800202963776386,0.664179436877749,3.43398720448515,-0.426765504895265,0.140350877192982,0.263157894736842
"4270","020714_1_100_1","1","Glucose","WT","24",2,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.405096,1.480641,2.18991,35.545772,19.084049,2.94784,35.79218,2.53,0.154466172246781,0.0829308194516074,1.0069321324629,28,35,2.5,2.38461538461538,0,0,0.227272727272727,0.227272727272727,8,9.82795,1.02263342857143,0.965137202297418,4.71129,0.171428571428571,3,0.857142857142857,0.974843659940149,0.285714285714286,0.642857142857143,0.0994098494098494,0.1168164238372,0.361823361823362,0.0724460724460724,0.0764946352305579,0.317521367521368,1.03691772387804,0.489231614991913,1.18265685714286,1.05465114285714,1.04390714285714,0.950812545630612,0.891764281826464,0.771877880841319,0.73626312530315,3.3322045101752,-0.497517392650248,0.156862745098039,0.285714285714286
"42711","020714_1_100_2","1","Glucose","WT","24",3,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.428004,1.634404,2.027872,36.003678,19.825222,2.98484,34.37602,2.4299,0.150557708761092,0.0829037522222035,0.954791896539015,28,33,2.35714285714286,2.35714285714286,0,1,0.113207547169811,0.113207547169811,11,12.74252,1.04169787878788,0.936441011242024,4.40581,0.181818181818182,1,1,1,0.321428571428571,0.678571428571429,0.170634920634921,0.192632515836809,0.558404558404558,0.151709401709402,0.185975901341112,0.555555555555556,1.09515793223142,0.360613274986729,1.19486393939394,0.981713333333333,0.945678484848485,0.940664788695068,0.821610980938365,0.666807982691066,0.527200773439882,3.3322045101752,-0.485446468759696,0.117647058823529,0.181818181818182
"42721","020714_1_100_275","1","Glucose","WT","24",276,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.910732,2.289017,2.922706,70.344728,53.545431,5.59651,67.23637,4.75266,0.104518908438705,0.0795583430218111,0.955812495287493,46,52,2.26086956521739,2.18181818181818,1,1,0.0731707317073171,0.0731707317073171,9,14.49435,1.29300673076923,1.14804546552847,5.2924,0.0961538461538462,3,0.673913043478261,0.700949412036793,0.391304347826087,0.565217391304348,0.0397891963109354,0.0498755281661166,0.160606060606061,0.0395256916996047,0.049230813113903,0.171380471380471,1.15824265325922,0.518278815861176,1.42726211538462,1.17108865384615,1.11476730769231,0.911351274776847,0.820514074620814,0.640758160411623,0.71303287237397,3.8286413964891,-0.60422149177679,0.0804597701149425,0.173076923076923
"4273","020714_1_100_4","1","Glucose","WT","24",5,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.56289,1.60473,2.54233,44.799322,26.708581,3.55622,45.25794,3.1991,0.133148968116277,0.0793811120623656,1.01023716385708,36,40,2.22222222222222,2.11764705882353,0,0,0.130434782608696,0.130434782608696,11,13.96803,1.13144875,0.820913695501848,4.57061,0.15,3,0.888888888888889,0.984926184239454,0.416666666666667,0.527777777777778,0.0952380952380952,0.112993185304011,0.383193277310924,0.0849206349206349,0.0887883226085881,0.294397759103641,1.07894557474921,0.410061409195011,1.26870775,1.122412,1.065263,0.928831474516867,0.8846891650185,0.807142397409542,0.864143931750297,3.58351893845611,-0.512085487996333,0.0746268656716418,0.175
"4274","020714_1_100_5","1","Glucose","WT","24",6,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.459664,1.605759,2.262632,39.239786,22.214456,3.2997,40.49234,2.86223,0.148538411203948,0.084090672665748,1.03192051047373,29,35,2.41379310344828,2.35714285714286,0,0,0,0,8,10.95307,1.15692314285714,0.904819166700213,4.02314,0.171428571428571,1,1,1,0.310344827586207,0.655172413793103,0.12269658821383,0.123427480084857,0.431216931216931,0.107735814632366,0.098786257883983,0.355379188712522,1.19900018103448,0.452544465405042,1.32318171428571,1.17407942857143,1.11121685714286,0.955924709667393,0.887315336884946,0.789704585844934,0.727521537980886,3.36729582998647,-0.423569448996085,0.132075471698113,0.2
"4275","020714_1_101_6","1","Glucose","WT","24",7,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.618684,1.748801,2.692058,50.472366,31.920911,3.78515,55.00923,3.88837,0.118579009226898,0.0749945029325552,1.08988807855768,37,47,2.54054054054054,2.5,0,0,0.103448275862069,0.103448275862069,8,9.02724,1.1704085106383,0.765949537956359,3.26111,0.170212765957447,3,0.891891891891892,0.994637260676396,0.243243243243243,0.72972972972973,0.0693693693693694,0.0503909089346964,0.193650793650794,0.0614328614328614,0.0456039818414325,0.149100529100529,1.18585204101527,0.380302842118081,1.28521744680851,1.20859595744681,1.13770489361702,0.966253581647166,0.94038247025671,0.912661603622781,0.97926695231546,3.61091791264422,-0.537848023548006,0.159420289855072,0.276595744680851
"4276","020714_1_101_7","1","Glucose","WT","24",8,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.663361,1.931673,2.660333,54.083664,35.805082,4.13576,49.50796,3.49951,0.11550762542591,0.0764696711376655,0.91539582081569,38,40,2.10526315789474,2.10526315789474,0,1,0,0,10,14.42866,1.237699,0.961447593928431,3.6985,0.125,3,0.842105263157895,0.909922363999648,0.447368421052632,0.552631578947368,0.0775644065117749,0.0873108886924796,0.253753753753754,0.0731389284020863,0.0792932420169878,0.223094523094523,1.15736235245669,0.545314000536128,1.35952125,1.232578,1.145366,0.952665195322853,0.906626505470216,0.892348491325997,0.981988348623375,3.63758615972639,-0.516499956361557,0.0422535211267606,0.125
"4277","020714_1_103_10","1","Glucose","WT","24",11,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.908219,2.299096,2.807564,68.353314,51.594519,5.69309,64.03574,4.52642,0.110342922278237,0.0832891584451926,0.936834459847843,43,50,2.32558139534884,2.28571428571429,0,2,0.0379746835443038,0.0379746835443038,10,15.08472,1.2807154,1.11584614395188,5.86589,0.12,4,0.86046511627907,0.977089055070315,0.348837209302326,0.627906976744186,0.0710639332306944,0.0726983344481517,0.271777003484321,0.0636631283256354,0.066002424417826,0.220789779326365,1.20627297226968,0.508086008723888,1.4258986,1.199457,1.1445488,0.938779880967799,0.841193756694901,0.606329117110115,0.950609455799064,3.76120011569356,-0.59941407232863,0.0987654320987654,0.22
"4278","020714_1_103_12","1","Glucose","WT","24",13,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.696915,1.752443,2.562627,49.937812,31.921101,3.81965,46.37834,3.27829,0.119659093212355,0.076488132880151,0.928721907159248,30,37,2.46666666666667,2.46666666666667,1,1,0.101694915254237,0.101694915254237,8,9.22723,1.25346864864865,0.905747508559649,4.1612,0.162162162162162,3,0.866666666666667,0.97871226093905,0.266666666666667,0.733333333333333,0.0815270935960591,0.0691695095131496,0.25615763546798,0.0717569786535304,0.0550866000028194,0.178325123152709,1.11460328178244,0.370505246020612,1.40134216216216,1.10553594594595,1.04409783783784,0.906950145594279,0.788912212731964,0.590726757229414,0,3.40119738166216,-0.463962484920435,0.145454545454545,0.27027027027027
